id,title,url,average_page_views_per_visit,bounce_rate,has_integration,last_visited,page_views,rank,visits
2271784099935605658,Se Elpriser | Energistyrelsen,https://ny.sparenergi.dk/elpriser,1.21,83.74,False,2024-07-03,3423938,1,2826253
11149010856717465486,SparEnergi.dk | Få hjælp til at spare el og varme i din bolig,https://sparenergi.dk,1.28,28.8,False,2024-07-09,593321,2,462111
6436185932320797025,Site under opdatering | Energistyrelsen,https://sparenergi.dk/forbruger/boligen/tilskud,1.39,36.63,False,2024-07-04,280584,3,201583
8281757633037574659,Site under opdatering | Energistyrelsen,https://sparenergi.dk/forbruger/el/dit-elforbrug,1.27,51.47,False,2024-06-03,130473,4,102988
4102510722579837754,Elforbrugsberegner | Energistyrelsen,https://ny.sparenergi.dk/elforbrugsberegner,1.2,69.43,False,2024-06-28,123366,5,103066
3777573273098499326,Ny Varme | Energistyrelsen,https://ny.sparenergi.dk/ny-varme,1.31,72.67,False,2024-07-08,112755,6,86151
7169244725918690177,Én ting er sikkert. Og det er grønt. | Energistyrelsen,https://sparenergi.dk/forbruger/en-ting-er-sikkert-og-det-er-gront,1.19,42.47,False,2023-03-31,108281,7,91124
1686702790613157836,Energirenoveringspuljen: Søg tilskud til energirenovering,https://sparenergi.dk/energirenoveringspuljen,1.56,51.65,False,2024-07-09,105367,8,67336
11735554256222318564,Spar på strømmen og varmen i hverdagen | SparEnergi,https://sparenergi.dk/privat/spar-energi-i-hverdagen,1.16,86.16,False,2024-07-09,102150,9,88425
10397722581164357387,Sådan søger du | Energistyrelsen,https://sparenergi.dk/forbruger/boligen/tilskud/sadan-soger-du,1.31,63.04,False,2023-03-31,96854,10,74176
16815077311009717229,Bliv klar til at søge tilskud til en varmepumpe,https://sparenergi.dk/privat/soeg-tilskud/varm-op-til-soege-tilskud-til-en-varmepumpe,1.47,60.03,False,2024-07-09,95671,11,65010
10817815109069032022,Site under opdatering | Energistyrelsen,https://sparenergi.dk/forbruger,1.53,14.58,False,2023-08-29,73459,12,48038
8386651587657262160,Find boligens energimærke | Energistyrelsen,https://old.sparenergi.dk/forbruger/vaerktoejer/find-dit-energimaerke,1.18,81.34,False,2024-07-09,72363,13,61113
4273131810379997569,Apparatberegner | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktojer/apparatberegner,1.21,80.6,False,2023-09-28,69537,14,57536
9005615314022129523,Site under opdatering | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktoejer/varmepumpelisten,1.19,65.0,False,2024-07-08,64345,15,54278
16075642683255915742,Site under opdatering | Energistyrelsen,https://sparenergi.dk/forbruger/boligen/tilskud/har-du-allerede-sogt-tilskud,1.22,70.54,False,2023-08-29,64054,16,52410
5689732907187650391,SparEnergi.dk | Få hjælp til at spare el og varme i din bolig,https://sparenergi.dk/,1.18,12.21,False,2024-07-08,61276,17,52002
11839226717748559595,Page not found,https://sparenergi.dk/forbruger/vaerktoejer/find-dit-energimaerke,1.18,76.29,False,2024-06-28,55262,18,46825
14435841380287618049,Energitilskud: Søg tilskud til energirenovering | SparEnergi,https://sparenergi.dk/privat/soeg-tilskud,1.25,29.3,False,2024-07-09,54588,19,43616
14557310993074005714,Site under opdatering | Energistyrelsen,https://sparenergi.dk/forbruger/sparerad-til-hjemmet,1.17,47.39,False,2023-10-13,51214,20,43681
10506707136185958268,Adgang nægtet | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktoejer/tilskudsberegner,1.16,67.06,False,2023-03-31,45982,21,39700
12845215084082169685,Spar energi i dit hus | Energistyrelsen,https://sparenergi.dk/forbruger/spar-energi-i-dit-hus,1.17,67.53,False,2023-04-27,44534,22,37921
11209967803043707258,Site under opdatering | Energistyrelsen,https://sparenergi.dk/elpriser,1.21,83.68,False,2024-01-02,42785,23,35246
14586564964431504602,Page not found,https://sparenergi.dk/login,1.69,34.9,False,2023-09-19,42774,24,25282
6219374291854666991,Ny Varme-beregner | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktoejer/ny-varme,1.21,66.65,False,2023-07-28,41418,25,34308
10163046997517640791,Naturgas | Energistyrelsen,https://sparenergi.dk/forbruger/varme/naturgas,1.1,72.97,False,2023-09-11,37909,26,34534
14843228655763459871,Din elpris | Energistyrelsen,https://sparenergi.dk/forbruger/el/din-elpris,1.19,65.24,False,2023-09-06,36618,27,30880
14016534546317188547,Søg tilskud | SparEnergi.dk,https://sparenergi.dk/soeg-tilskud,1.24,47.7,False,2024-07-09,34117,28,27617
7809106231591278595,Spar energi for erhverv og på arbejdspladsen | SparEnergi,https://sparenergi.dk/erhverv,1.38,32.48,False,2024-07-09,32533,29,23541
16002434703418010094,Få økonomisk støtte | Energistyrelsen,https://sparenergi.dk/forbruger/hoje-energipriser/fa-okonomisk-stotte,1.13,80.35,False,2023-07-13,30528,30,26933
13738473271906580747,Forstå din elregning | Energistyrelsen,https://sparenergi.dk/forbruger/el/dit-elforbrug/forstaa-din-elregning,1.13,77.49,False,2023-09-05,28458,31,25089
4973260167454600003,Varmepumper | Energistyrelsen,https://sparenergi.dk/forbruger/varme/varmepumper,1.24,33.24,False,2023-05-10,27796,32,22426
5706549228175792330,Spar energi i hverdagen | SparEnergi.dk,https://sparenergi.dk/spar-energi-i-hverdagen,1.19,82.72,False,2024-07-08,27423,33,23054
4812681573326665895,Solceller | Energistyrelsen,https://sparenergi.dk/forbruger/el/solceller,1.11,79.47,False,2023-09-25,26294,34,23721
4537475695905091068,Liste over VEG-virksomheder | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktoejer/ve-virksomheder,1.28,51.72,False,2024-06-22,24495,35,19069
15796847156207087419,Fjernvarme | Energistyrelsen,https://sparenergi.dk/forbruger/varme/fjernvarme,1.15,54.07,False,2023-09-22,23717,36,20552
11106633008582341744,Energistyrelsen |,https://old.sparenergi.dk,1.27,18.13,False,2024-07-09,22781,37,18005
4329321098977158076,Forbered boligen til varmesæsonen | Energistyrelsen,https://sparenergi.dk/forbruger/en-ting-er-sikkert-og-det-er-gront/forbered-boligen-til-varmesaesonen,1.15,54.24,False,2023-04-13,22398,38,19461
272551308747544545,Site under opdatering | Energistyrelsen,https://sparenergi.dk/elforbrugsberegner,1.08,71.06,False,2023-08-29,21873,39,20163
5227882165146759000,Varmt vand | Energistyrelsen,https://sparenergi.dk/forbruger/varme/varmt-vand,1.09,84.87,False,2023-09-25,21613,40,19808
10504854822176546083,Søgeresultat | Energistyrelsen,https://sparenergi.dk/google-search,1.34,35.8,False,2023-05-09,20795,41,15487
12776221601676924758,Varmepumpelisten: Vælg den rette varmepumpemodel,https://sparenergi.dk/varmepumpelisten,1.78,44.21,False,2024-07-09,20331,42,11392
8444349224052636935,Offentlig,https://sparenergi.dk/offentlig,1.36,31.62,False,2024-07-09,20281,43,14903
